Cluster Name,Job Name,Spend Time (s),AVG CPU (%),MAX CPU (%),Total vCPU Usage (s),AVG Memory Rate (%),MAX Memory Rate (%),Total Memory Usage (GB),Network IO (MB),Pending Executor,Running Executor,Spend Money
mid-cluster-1,job_1,214,32.3226,39.519,55336.2912,12.4359,24.8316,9,143.9,0,2,0.028
mid-cluster-2,job_1,184,29.5171,38.1039,86898.3424,9.8642,24.1876,12.9,200.3,2,4,0.048
mid-cluster-3,job_1,184,22.8923,29.5533,134789.8624,7.1245,21.9038,20.7,232,6,8,0.096
mid-cluster-1,job_2,696,55.5413,69.9121,309253.9584,22.7048,25.4544,12.7,34,0,2,0.091
mid-cluster-2,job_2,395,49.6068,61.1889,313514.976,20.6871,27.0704,23.4,65.2,0,4,0.104
mid-cluster-3,job_2,274,37.0545,53.4741,324893.856,16.4098,24.0658,39.2,88.8,0,8,0.144
mid-cluster-1,job_3,666,51.4889,58.0841,274332.8592,23.262,27.3913,11.9,347.3,0,2,0.087
mid-cluster-2,job_3,365,42.2686,47.7515,246848.624,18.5483,25.8093,21.9,580.3,0,4,0.096
mid-cluster-3,job_3,214,44.8971,53.85,307455.3408,15.8947,23.1997,34.9,1174,0,8,0.112
mid-cluster-1,job_4,5286,65.1607,76.3293,2755515.682,26.0886,27.4031,13.7,44,0,2,0.693
mid-cluster-2,job_4,2689,63.6668,72.7303,2739200.403,23.0901,28.0686,24.1,88.9,0,4,0.705
mid-cluster-3,job_4,1390,60.2745,71.8855,2681009.76,21.264,25.346,45.3,172.4,0,8,0.729
